num_of_nodes,original_paut_size,extension_size,dataset_type
22,11,1,train
22,4,1,train
22,7,2,train
22,4,0,train
22,4,0,train
22,4,1,train
22,2,2,train
22,16,0,train
22,12,0,train
22,10,0,train
22,13,0,train
22,17,0,train
22,13,0,train
22,3,0,train
22,5,0,train
22,5,0,train
22,3,0,train
22,5,1,train
22,2,1,train
22,4,2,train
22,6,4,train
22,2,1,train
22,3,1,train
22,7,1,train
22,3,1,train
22,2,3,train
22,7,1,train
22,9,0,train
22,15,0,train
22,3,1,train
22,3,1,train
22,16,0,train
22,4,0,train
22,16,0,train
22,17,0,train
22,3,1,train
22,7,1,train
22,2,1,train
22,9,3,train
22,4,0,train
22,3,0,train
22,9,0,train
22,9,0,train
22,9,0,train
22,10,0,train
22,4,0,train
22,14,0,train
22,4,3,train
22,3,2,train
22,3,1,train
22,2,1,train
22,2,2,train
22,7,2,train
22,3,1,train
22,2,2,train
22,13,0,train
22,3,0,train
22,8,0,train
22,13,0,train
22,3,4,train
22,2,1,train
22,11,1,train
22,5,1,train
22,8,0,train
22,7,0,train
22,12,0,train
22,9,0,train
22,12,0,train
22,13,0,train
22,12,0,train
22,6,0,train
22,9,0,train
22,9,0,train
22,2,1,train
22,5,2,train
22,5,2,train
22,3,2,train
22,11,1,train
22,3,1,train
22,3,1,train
22,5,1,train
22,11,1,train
22,12,1,train
22,15,0,train
22,15,0,train
22,4,0,train
22,13,0,train
22,4,0,train
22,8,0,train
22,4,0,train
22,14,0,train
22,4,0,train
22,16,0,train
22,5,2,train
22,2,1,train
22,2,1,train
22,4,1,train
22,2,1,train
22,4,1,train
22,6,1,train
22,7,2,train
22,8,2,train
22,2,2,train
22,7,0,train
22,5,0,train
22,2,4,train
22,4,1,train
22,13,0,train
22,3,0,train
22,5,0,train
22,3,0,train
22,9,1,train
22,3,1,train
22,4,1,train
22,6,2,train
22,10,0,train
22,17,0,train
22,9,0,train
22,6,0,train
22,5,0,train
22,17,0,train
22,7,0,train
22,10,0,train
22,3,1,train
22,2,2,train
22,8,3,train
22,2,1,train
22,3,2,train
22,3,2,train
22,4,2,train
22,6,1,train
22,12,0,train
22,11,0,train
22,4,1,train
22,12,1,train
22,13,0,train
22,8,0,train
22,7,1,train
22,4,1,train
22,5,0,train
22,14,0,train
22,2,2,train
22,4,1,train
22,9,0,train
22,14,0,train
22,12,0,train
22,9,0,train
22,11,0,train
22,3,0,train
22,5,0,train
22,12,0,train
22,11,0,train
22,5,0,train
22,2,2,train
22,3,2,train
22,3,1,train
22,7,2,train
22,3,1,train
22,5,1,train
22,4,2,train
22,4,1,train
22,5,2,train
22,4,1,train
22,5,0,train
22,11,0,train
22,13,0,train
22,14,0,train
22,10,2,train
22,7,2,train
22,2,1,train
22,6,4,train
22,4,0,train
22,13,0,train
22,12,0,train
22,12,0,train
22,13,0,train
22,8,0,train
22,6,0,train
22,7,0,train
22,16,0,train
22,16,0,train
22,5,3,train
22,2,1,train
22,9,2,train
22,2,1,train
22,6,1,train
22,3,1,train
22,4,1,train
22,3,2,train
22,2,1,train
22,3,1,train
22,10,0,train
22,3,0,train
22,7,1,train
22,6,1,train
22,3,0,train
22,11,0,train
22,11,0,train
22,7,0,train
22,5,0,train
22,4,0,train
22,12,0,train
22,16,0,train
22,8,0,train
22,9,0,train
22,11,1,train
22,2,2,train
22,2,1,train
22,7,2,train
22,2,2,train
22,6,1,train
22,8,1,train
22,4,1,train
22,5,3,train
22,4,3,train
22,8,0,train
22,13,0,train
22,4,1,train
22,2,1,train
22,9,0,train
22,9,0,train
22,3,0,train
22,8,0,train
22,16,0,train
22,6,0,train
22,17,0,train
22,13,0,train
22,6,2,train
22,2,1,train
22,2,1,train
22,5,1,train
22,2,1,train
22,2,1,train
22,4,2,train
22,3,1,train
22,6,0,train
22,16,0,train
22,13,0,train
22,5,0,train
22,3,0,train
22,5,0,train
22,9,0,train
22,4,0,train
22,8,0,train
22,7,0,train
22,3,1,train
22,2,1,train
22,2,1,train
22,2,1,train
22,8,1,train
22,2,2,train
22,4,1,train
22,8,1,train
22,6,1,train
22,2,1,train
22,13,0,train
22,16,0,train
22,16,0,train
22,7,0,train
22,13,0,train
22,9,0,train
22,8,0,train
22,13,0,train
22,6,0,train
22,11,0,train
22,4,1,train
22,2,3,train
22,6,1,train
22,4,2,train
22,6,1,train
22,2,1,train
22,2,2,train
22,3,1,train
22,2,1,train
22,3,1,train
22,3,0,train
22,13,0,train
22,14,0,train
22,10,0,train
22,12,0,train
22,14,0,train
22,10,0,train
22,11,0,train
22,2,1,train
22,7,1,train
22,2,2,train
22,4,1,train
22,5,1,train
22,2,1,train
22,3,1,train
22,10,1,train
22,17,0,train
22,10,0,train
22,16,0,train
22,12,0,train
22,15,0,train
22,4,0,train
22,14,0,train
22,16,0,train
22,12,0,train
22,10,0,train
22,10,1,train
22,5,1,train
22,2,1,train
22,8,1,train
22,2,1,train
22,2,1,train
22,4,2,train
22,6,1,train
22,3,2,train
22,4,1,train
22,16,0,train
22,15,0,train
22,3,3,train
22,2,1,train
22,14,0,train
22,6,0,train
22,12,0,train
22,14,0,train
22,6,3,train
22,2,5,train
22,5,2,train
22,2,2,train
22,3,0,train
22,6,0,train
22,4,0,train
22,10,0,train
22,3,0,train
22,6,0,train
22,12,0,train
22,13,0,train
22,4,3,train
22,7,1,train
22,2,1,train
22,3,1,train
22,5,1,train
22,4,1,train
22,2,1,train
22,2,1,train
22,4,0,train
22,5,0,train
22,4,2,train
22,11,1,train
22,10,0,train
22,4,0,train
22,16,0,train
22,11,0,train
22,13,0,train
22,6,0,train
22,8,0,train
22,11,0,train
22,13,0,train
22,16,0,train
22,3,1,train
22,3,1,train
22,4,1,train
22,7,1,train
22,7,1,train
22,2,1,train
22,5,3,train
22,9,1,train
22,6,3,train
22,5,1,train
22,12,0,train
22,17,0,train
22,5,0,train
22,14,0,train
22,4,0,train
22,10,0,train
22,7,0,train
22,4,0,train
22,16,0,train
22,3,0,train
22,5,1,train
22,4,1,train
22,7,1,train
22,3,1,train
22,2,1,train
22,2,1,train
22,2,1,train
22,3,1,train
22,2,1,train
22,4,1,train
22,6,0,train
22,10,0,train
22,3,2,train
22,10,1,train
22,5,0,train
22,11,0,train
22,2,3,train
22,8,1,train
22,8,0,train
22,14,0,train
22,10,0,train
22,15,0,train
22,12,0,train
22,10,0,train
22,17,0,train
22,9,0,train
22,16,0,train
22,11,0,train
22,8,1,train
22,3,1,train
22,6,2,train
22,3,1,train
22,2,1,train
22,5,1,train
22,3,1,train
22,3,1,train
22,2,1,train
22,10,1,train
22,11,0,train
22,8,0,train
22,17,0,train
22,15,0,train
22,16,0,train
22,17,0,train
22,3,0,train
22,8,0,train
22,15,0,train
22,6,0,train
22,12,3,train
22,6,1,train
22,5,1,train
22,8,1,train
22,5,3,train
22,8,1,train
22,8,3,train
22,8,1,train
22,4,2,train
22,7,1,train
22,3,0,train
22,17,0,train
22,14,0,train
22,5,0,train
22,5,1,train
22,4,2,train
22,4,3,train
22,5,1,train
22,9,0,train
22,8,0,train
22,2,1,train
22,6,1,train
22,17,0,train
22,13,0,train
22,6,1,train
22,10,1,train
22,4,0,train
22,13,0,train
22,3,2,train
22,2,2,train
22,4,0,train
22,5,0,train
22,4,2,train
22,3,1,train
22,11,0,train
22,15,0,train
22,7,0,train
22,14,0,train
22,14,0,train
22,14,0,train
22,16,0,train
22,11,0,train
22,5,0,train
22,3,0,train
22,2,2,train
22,4,1,train
22,4,1,train
22,3,1,train
22,3,1,train
22,2,4,train
22,3,1,train
22,7,2,train
22,2,2,train
22,4,1,train
22,8,0,train
22,13,0,train
22,8,0,train
22,4,0,train
22,3,0,train
22,10,0,train
22,15,0,train
22,15,0,train
22,16,0,train
22,3,0,train
22,9,1,train
22,5,1,train
22,9,1,train
22,5,1,train
22,3,1,train
22,6,1,train
22,2,1,train
22,5,1,train
22,5,1,train
22,13,1,train
22,4,0,train
22,6,0,train
22,15,0,train
22,5,0,train
22,8,1,train
22,7,1,train
22,3,1,train
22,3,1,train
22,3,0,train
22,17,0,train
22,4,1,train
22,4,1,train
22,15,0,train
22,16,0,train
22,10,0,train
22,8,0,train
22,7,0,train
22,16,0,train
22,4,0,train
22,4,0,train
22,10,0,train
22,16,0,train
22,2,1,train
22,2,1,train
22,2,2,train
22,6,2,train
22,5,2,train
22,7,2,train
22,11,2,train
22,4,1,train
22,4,1,train
22,4,1,train
22,8,0,train
22,7,0,train
22,2,1,train
22,4,1,train
22,17,0,train
22,15,0,train
22,16,0,train
22,6,0,train
22,10,1,train
22,9,2,train
22,9,2,train
22,2,1,train
22,17,0,train
22,7,0,train
22,3,1,train
22,3,1,train
22,5,0,train
22,14,0,train
22,12,0,train
22,7,0,train
22,8,3,train
22,5,4,train
22,4,1,train
22,2,2,train
22,16,0,train
22,16,0,train
22,7,0,train
22,13,0,train
22,8,2,train
22,6,2,train
22,2,1,train
22,11,3,train
22,16,0,train
22,17,0,train
22,11,0,train
22,6,0,train
22,11,0,train
22,13,0,train
22,3,0,train
22,15,0,train
22,5,0,train
22,17,0,train
22,5,1,train
22,3,1,train
22,5,3,train
22,4,1,train
22,4,1,train
22,2,1,train
22,7,1,train
22,2,3,train
22,3,1,train
22,4,1,train
22,9,0,train
22,14,0,train
22,7,3,train
22,5,1,train
22,11,0,train
22,12,0,train
22,12,0,train
22,7,0,train
22,4,0,train
22,15,0,train
22,14,0,train
22,15,0,train
22,13,0,train
22,8,0,train
22,4,1,train
22,6,1,train
22,7,1,train
22,2,1,train
22,4,1,train
22,6,2,train
22,6,3,train
22,9,1,train
22,2,2,train
22,8,1,train
22,10,0,train
22,16,0,train
22,3,2,train
22,2,1,train
22,17,0,train
22,14,0,train
22,8,1,train
22,10,2,train
22,11,0,train
22,8,0,train
22,5,1,train
22,2,1,train
22,13,0,train
22,15,0,train
22,11,0,train
22,17,0,train
22,13,0,train
22,15,0,train
22,16,0,train
22,10,0,train
22,17,0,train
22,5,0,train
22,2,1,train
22,4,1,train
22,5,1,train
22,3,1,train
22,6,2,train
22,2,2,train
22,6,1,train
22,4,1,train
22,4,2,train
22,11,1,train
22,3,0,train
22,9,0,train
22,15,0,train
22,12,0,train
22,13,0,train
22,13,0,train
22,16,0,train
22,11,0,train
22,17,0,train
22,13,0,train
22,2,1,train
22,5,2,train
22,2,1,train
22,5,1,train
22,2,1,train
22,3,1,train
22,7,1,train
22,2,2,train
22,4,3,train
22,8,1,train
22,17,0,train
22,13,0,train
22,16,0,train
22,4,0,train
22,6,0,train
22,3,0,train
22,8,0,train
22,7,0,train
22,6,0,train
22,16,0,train
22,12,1,train
22,2,1,train
22,12,1,train
22,5,1,train
22,11,2,train
22,2,1,train
22,5,1,train
22,5,1,train
22,10,2,train
22,8,1,train
22,14,0,train
22,9,0,train
22,5,0,train
22,4,0,train
22,14,0,train
22,17,0,train
22,9,0,train
22,17,0,train
22,11,0,train
22,11,0,train
22,3,1,train
22,3,1,train
22,6,1,train
22,6,1,train
22,5,1,train
22,7,1,train
22,3,1,train
22,9,1,train
22,4,2,train
22,5,1,train
22,9,0,train
22,12,0,train
22,14,0,train
22,11,0,train
22,14,0,train
22,9,0,train
22,12,0,train
22,17,0,train
22,8,0,train
22,3,0,train
22,3,1,train
22,7,1,train
22,8,4,train
22,4,2,train
22,4,1,train
22,3,1,train
22,2,1,train
22,2,1,train
22,2,1,train
22,2,1,train
22,5,0,train
22,10,0,train
22,4,3,train
22,4,1,train
22,17,0,train
22,11,0,train
22,4,0,train
22,7,0,train
22,6,0,train
22,6,0,train
22,5,0,train
22,16,0,train
22,6,0,train
22,15,0,train
22,2,1,train
22,2,2,train
22,7,1,train
22,2,1,train
22,3,1,train
22,5,1,train
22,3,1,train
22,2,1,train
22,2,1,train
22,5,2,train
22,8,0,train
22,7,0,train
22,2,1,train
22,4,1,train
22,13,0,train
22,11,0,train
22,5,3,train
22,4,1,train
22,6,0,train
22,14,0,train
22,17,0,train
22,5,0,train
22,3,1,train
22,7,1,train
22,3,1,train
22,7,1,train
22,6,0,train
22,16,0,train
22,17,0,train
22,17,0,train
22,13,0,train
22,3,0,train
22,6,0,train
22,17,0,train
22,7,0,train
22,12,0,train
22,4,1,train
22,6,2,train
22,3,2,train
22,8,1,train
22,8,1,train
22,10,3,train
22,7,1,train
22,13,2,train
22,4,1,train
22,3,1,train
22,17,0,train
22,6,0,train
22,8,0,train
22,15,0,train
22,15,0,train
22,16,0,train
22,7,0,train
22,9,0,train
22,12,0,train
22,15,0,train
22,6,2,train
22,2,2,train
22,8,1,train
22,6,3,train
22,4,1,train
22,3,2,train
22,5,1,train
22,7,1,train
22,2,1,train
22,7,1,train
22,11,0,train
22,5,0,train
22,3,1,train
22,4,1,train
22,7,0,train
22,13,0,train
22,5,1,train
22,2,1,train
22,8,0,train
22,14,0,train
22,16,0,train
22,4,0,train
22,4,0,train
22,5,0,train
22,10,1,train
22,2,4,train
22,11,4,train
22,7,1,train
22,5,2,train
22,9,2,train
22,7,0,train
22,7,0,train
22,16,0,train
22,9,0,train
22,11,0,train
22,13,0,train
22,3,0,train
22,16,0,train
22,11,0,train
22,11,0,train
22,6,1,train
22,10,1,train
22,3,2,train
22,2,2,train
22,2,1,train
22,5,2,train
22,2,2,train
22,2,1,train
22,4,1,train
22,13,2,train
22,12,0,train
22,8,0,train
22,16,0,train
22,13,0,train
22,10,0,train
22,13,0,train
22,15,0,train
22,13,0,train
22,7,0,train
22,7,0,train
22,4,2,train
22,8,1,train
22,7,1,train
22,8,1,train
22,8,2,train
22,10,3,train
22,11,5,train
22,8,3,train
22,2,1,train
22,3,1,train
22,6,0,train
22,3,0,train
22,8,1,train
22,6,1,train
22,10,0,train
22,11,0,train
22,4,1,train
22,2,4,train
22,12,0,train
22,16,0,train
22,11,0,train
22,7,0,train
22,8,0,train
22,13,0,train
22,14,0,train
22,17,0,train
22,15,0,train
22,17,0,train
22,2,2,train
22,3,2,train
22,5,1,train
22,2,2,train
22,2,1,train
22,6,2,train
22,4,1,train
22,7,2,train
22,5,1,train
22,16,1,train
22,10,0,train
22,17,0,train
22,6,0,train
22,14,0,train
22,7,1,train
22,5,2,train
22,4,1,train
22,4,1,train
22,17,0,train
22,10,0,train
22,5,0,train
22,5,0,train
22,8,0,train
22,15,0,train
22,4,0,train
22,12,0,train
22,16,0,train
22,6,0,train
22,4,3,train
22,5,1,train
22,7,1,train
22,2,1,train
22,2,2,train
22,4,1,train
22,8,1,train
22,2,1,train
22,4,1,train
22,2,2,train
22,3,0,train
22,4,0,train
22,3,1,train
22,3,1,train
22,16,0,train
22,12,0,train
22,2,1,train
22,9,2,train
22,7,0,train
22,13,0,train
22,5,2,train
22,8,2,train
22,6,0,train
22,6,0,train
22,7,1,train
22,2,1,train
22,14,0,train
22,4,0,train
22,8,0,train
22,14,0,train
22,9,2,train
22,3,1,train
22,2,2,train
22,4,1,train
22,9,0,train
22,3,0,train
22,14,0,train
22,16,0,train
22,5,0,train
22,17,0,train
22,16,0,train
22,15,0,train
22,10,0,train
22,5,0,train
22,4,1,train
22,11,1,train
22,2,1,train
22,3,3,train
22,5,1,train
22,2,1,train
22,4,1,train
22,5,1,train
22,3,2,train
22,6,2,train
22,11,0,train
22,4,0,train
22,13,3,train
22,2,2,train
22,8,0,train
22,6,0,train
22,3,1,train
22,10,1,train
22,16,0,train
22,13,0,train
22,5,2,train
22,9,1,train
22,13,0,train
22,14,0,train
22,14,0,train
22,5,0,train
22,6,0,train
22,14,0,train
22,14,0,train
22,7,0,train
22,12,0,train
22,11,0,train
22,5,2,train
22,9,1,train
22,2,2,train
22,3,1,train
22,2,1,train
22,5,2,train
22,3,1,train
22,5,2,train
22,5,2,train
22,10,1,train
22,11,0,train
22,6,0,train
22,9,0,train
22,7,0,train
22,2,1,train
22,4,2,train
22,3,1,train
22,6,1,train
22,9,0,train
22,14,0,train
22,13,0,train
22,15,0,train
22,17,0,train
22,5,0,train
22,3,0,train
22,5,0,train
22,3,0,train
22,4,0,train
22,4,1,train
22,5,1,train
22,2,1,train
22,12,1,train
22,3,1,train
22,5,1,train
22,6,1,train
22,2,1,train
22,9,3,train
22,7,1,train
22,6,0,train
22,5,0,train
22,6,2,train
22,2,2,train
22,11,0,train
22,9,0,train
22,14,0,train
22,12,0,train
22,10,0,train
22,14,0,train
22,16,0,train
22,4,0,train
22,7,0,train
22,4,0,train
22,4,2,train
22,3,1,train
22,6,1,train
22,2,2,train
22,4,1,train
22,4,1,train
22,2,2,train
22,2,1,train
22,3,1,train
22,3,2,train
22,8,0,train
22,13,0,train
22,2,1,train
22,2,1,train
22,15,0,train
22,13,0,train
22,4,1,train
22,2,1,train
22,16,0,train
22,7,0,train
22,7,0,train
22,9,0,train
22,14,0,train
22,3,1,train
22,5,1,train
22,5,2,train
22,3,1,train
22,6,1,train
22,4,0,train
22,8,0,train
22,2,1,train
22,6,1,train
22,17,0,train
22,5,0,train
22,14,0,train
22,3,0,train
22,6,0,train
22,16,0,train
22,10,0,train
22,3,0,train
22,12,0,train
22,12,0,train
22,3,1,train
22,3,1,train
22,4,2,train
22,4,1,train
22,3,2,train
22,4,1,train
22,2,1,train
22,3,3,train
22,6,4,train
22,2,1,train
22,9,0,train
22,9,0,train
22,4,0,train
22,4,0,train
22,9,0,train
22,16,0,train
22,9,0,train
22,16,0,train
22,4,0,train
22,9,0,train
22,2,1,train
22,3,1,train
22,4,1,train
22,7,1,train
22,4,1,train
22,2,2,train
22,5,4,train
22,2,1,train
22,2,1,train
22,2,1,train
22,15,0,train
22,14,0,train
22,14,0,train
22,15,0,train
22,11,0,train
22,3,0,train
22,17,0,train
22,6,0,train
22,4,1,train
22,7,3,train
22,2,2,train
22,3,1,train
22,2,1,train
22,2,1,train
22,6,1,train
22,3,1,train
22,12,0,train
22,8,0,train
22,9,3,train
22,3,2,train
22,9,0,train
22,17,0,train
22,7,0,train
22,17,0,train
22,7,0,train
22,4,0,train
22,7,0,train
22,4,0,train
22,5,0,train
22,8,0,train
22,10,1,train
22,4,1,train
22,7,1,train
22,3,2,train
22,6,1,train
22,8,1,train
22,3,1,train
22,4,1,train
22,4,1,train
22,5,1,train
22,3,0,train
22,4,0,train
22,4,2,train
22,4,1,train
22,4,0,train
22,5,0,train
22,3,4,train
22,5,1,train
22,6,0,train
22,4,0,train
22,4,1,train
22,6,1,train
22,10,0,train
22,5,0,train
22,2,1,train
22,6,2,train
22,14,0,train
22,15,0,train
22,3,0,train
22,13,0,train
22,3,1,train
22,4,1,train
22,3,1,train
22,5,1,train
22,9,0,train
22,4,0,train
22,11,0,train
22,17,0,train
22,9,0,train
22,14,0,train
22,12,0,train
22,7,0,train
22,4,0,train
22,15,0,train
22,4,1,train
22,5,3,train
22,2,1,train
22,3,1,train
22,2,1,train
22,2,2,train
22,5,1,train
22,4,4,train
22,2,1,train
22,10,2,train
22,6,0,train
22,3,0,train
22,6,0,train
22,17,0,train
22,15,0,train
22,10,0,train
22,12,0,train
22,14,0,train
22,11,0,train
22,4,0,train
22,3,1,train
22,2,3,train
22,7,1,train
22,4,1,train
22,12,1,train
22,3,2,train
22,3,3,train
22,2,2,train
22,5,1,train
22,4,2,train
22,7,0,train
22,6,0,train
22,8,0,train
22,14,0,train
22,12,0,train
22,13,0,train
22,10,0,train
22,14,0,train
22,13,0,train
22,12,0,train
22,4,7,train
22,2,2,train
22,12,1,train
22,5,1,train
22,2,1,train
22,9,3,train
22,4,1,train
22,7,1,train
22,8,1,train
22,2,1,train
22,7,0,train
22,12,0,train
22,16,0,train
22,13,0,train
22,2,1,train
22,3,1,train
22,10,1,train
22,2,1,train
22,7,0,train
22,17,0,train
22,5,1,train
22,3,1,train
22,8,0,train
22,9,0,train
22,11,0,train
22,15,0,train
22,3,0,train
22,14,0,train
22,9,0,train
22,3,0,train
22,6,0,train
22,10,0,train
22,3,2,train
22,2,1,train
22,3,2,train
22,4,1,train
22,12,1,train
22,4,1,train
22,4,1,train
22,5,1,train
22,6,1,train
22,6,2,train
22,13,0,train
22,6,0,train
22,8,0,train
22,17,0,train
22,3,0,train
22,3,0,train
22,15,0,train
22,14,0,train
22,12,0,train
22,10,0,train
22,4,1,train
22,4,2,train
22,2,1,train
22,14,2,train
22,4,2,train
22,5,1,train
22,6,2,train
22,4,2,train
22,11,2,train
22,2,1,train
22,12,0,train
22,17,0,train
22,6,2,train
22,3,3,train
22,12,0,train
22,10,0,train
22,2,3,train
22,6,1,train
22,15,0,train
22,5,0,train
22,4,0,train
22,16,0,train
22,6,0,train
22,13,0,train
22,12,0,train
22,10,0,train
22,3,0,train
22,6,0,train
22,10,1,train
22,3,1,train
22,2,2,train
22,2,1,train
22,2,1,train
22,3,1,train
22,7,1,train
22,5,1,train
22,4,1,train
22,7,1,train
22,10,0,train
22,15,0,train
22,4,1,train
22,11,1,train
22,17,0,train
22,8,0,train
22,2,1,train
22,3,1,train
22,11,0,train
22,15,0,train
22,15,0,train
22,8,0,train
22,13,0,train
22,10,0,train
22,6,0,train
22,11,0,train
22,12,0,train
22,6,0,train
22,10,1,train
22,8,7,train
22,4,1,train
22,3,1,train
22,5,1,train
22,2,1,train
22,3,1,train
22,7,1,train
22,7,2,train
22,11,1,train
22,7,0,train
22,3,0,train
22,9,0,train
22,15,0,train
22,13,0,train
22,12,0,train
22,15,0,train
22,5,0,train
22,14,0,train
22,15,0,train
22,3,1,train
22,7,1,train
22,4,2,train
22,2,1,train
22,5,1,train
22,7,2,train
22,10,1,train
22,2,1,train
22,4,1,train
22,2,1,train
22,4,0,train
22,15,0,train
22,6,0,train
22,17,0,train
22,6,2,train
22,2,1,train
22,5,1,train
22,9,1,train
22,10,0,train
22,11,0,train
22,2,1,train
22,2,2,train
22,17,0,train
22,11,0,train
22,11,0,train
22,17,0,train
22,7,0,train
22,6,0,train
22,10,0,train
22,4,0,train
22,9,0,train
22,12,0,train
22,7,1,train
22,10,3,train
22,3,2,train
22,6,3,train
22,2,2,train
22,3,1,train
22,2,1,train
22,4,1,train
22,9,1,train
22,4,3,train
22,6,0,train
22,15,0,train
22,7,1,train
22,2,1,train
22,11,0,train
22,10,0,train
22,5,0,train
22,11,0,train
22,5,0,train
22,17,0,train
22,5,0,train
22,3,0,train
22,2,2,train
22,2,2,train
