num_of_nodes,paut_size,label,dataset_type
13,8,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,1,train
13,7,1,train
13,10,1,train
13,10,1,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,10,1,train
13,7,1,train
13,9,0,train
13,7,0,train
13,10,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,7,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,10,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,9,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,1,train
13,10,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,7,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,8,0,train
13,7,0,train
13,8,0,train
13,10,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,9,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,9,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,9,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,10,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,7,1,train
13,7,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,10,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,10,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,10,0,train
13,9,0,train
13,7,0,train
13,7,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,7,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,8,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,10,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,8,1,train
13,7,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,9,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,10,0,train
13,8,0,train
13,9,0,train
13,7,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,8,1,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,8,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,10,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,10,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,10,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,10,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,10,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,8,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,7,1,train
13,7,1,train
13,8,0,train
13,8,0,train
13,7,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,10,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,9,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,7,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,10,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,8,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,10,1,train
13,7,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,9,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,10,0,train
13,7,0,train
13,8,0,train
13,10,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,10,0,train
13,9,0,train
13,10,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,7,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,10,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,8,0,train
13,8,0,train
13,9,0,train
13,10,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,10,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,10,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,8,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,7,1,train
13,7,1,train
13,7,0,train
13,10,0,train
13,10,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,7,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,10,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,10,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,10,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,9,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,9,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,9,1,train
13,9,1,train
13,8,0,train
13,7,0,train
13,9,1,train
13,7,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,9,0,train
13,8,0,train
13,10,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,9,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,7,0,train
13,8,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,8,0,train
13,8,0,train
13,10,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,10,0,train
13,9,1,train
13,7,1,train
13,8,0,train
13,9,0,train
13,7,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,10,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,8,1,train
13,8,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,8,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,7,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,9,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,9,0,train
13,8,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,8,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,10,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,10,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,10,0,train
13,10,0,train
13,7,0,train
13,8,0,train
13,7,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,7,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,8,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,10,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,9,0,train
13,8,0,train
13,7,0,train
13,10,0,train
13,9,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,9,1,train
13,7,1,train
13,9,1,train
13,10,1,train
13,7,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,8,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,10,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,10,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,1,train
13,7,1,train
13,8,0,train
13,7,0,train
13,10,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,9,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,7,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,9,1,train
13,9,1,train
13,10,0,train
13,9,0,train
13,9,1,train
13,10,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,8,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,8,0,train
13,7,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,10,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,7,0,train
13,10,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,10,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,8,0,train
13,10,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,9,1,train
13,9,1,train
13,9,0,train
13,9,0,train
13,7,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,10,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,10,1,train
13,7,1,train
13,8,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,9,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,7,1,train
13,9,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,10,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,7,0,train
13,10,1,train
13,8,1,train
13,10,1,train
13,8,1,train
13,7,0,train
13,9,0,train
13,9,0,train
13,8,0,train
13,7,1,train
13,9,1,train
13,10,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,9,0,train
13,8,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,8,0,train
13,7,1,train
13,10,1,train
13,10,1,train
13,7,1,train
13,7,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,10,1,train
13,9,1,train
13,8,1,train
13,7,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,8,1,train
13,9,1,train
13,9,1,train
13,9,1,train
13,8,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,9,0,train
13,7,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,0,train
13,9,1,train
13,9,1,train
13,8,1,train
13,8,1,train
13,10,1,train
13,9,1,train
13,7,1,train
13,7,1,train
13,7,0,train
13,9,0,train
13,8,0,train
13,8,0,train
13,9,0,train
13,7,0,train
13,7,0,train
13,8,0,train
13,9,1,train
13,8,1,train
13,7,1,train
13,7,1,train
13,7,0,train
13,9,0,train
13,8,0,train
13,10,0,train
